Year,Meat,Crops,Diversity,Timber,Carbon ,Urban,Recreation
2016,1109071,2483832,15967,61729,21142322,12,3683
2017,1109071,2483832,15967,61729,21142322,12,3683
2018,1109071,2483832,15967,61729,21142322,12,3683
2019,1109071,2483832,15967,61729,21142322,12,3683
2020,1109071,2483832,15967,61729,21142322,12,3683
2021,1109071,2483832,15967,61729,21142322,12,3683
2022,1109071,2483832,15967,61729,21142322,12,3683
2023,1109071,2483832,15967,61729,21142322,12,3683
2024,1109071,2483832,15967,61729,21142322,12,3683
2025,1109071,2483832,15967,61729,21142322,12,3683
2026,1109071,2483832,15967,61729,21142322,12,3683
2027,1109071,2483832,15967,61729,21142322,12,3683
2028,1109071,2483832,15967,61729,21142322,12,3683
2029,1109071,2483832,15967,61729,21142322,12,3683
2030,1109071,2483832,15967,61729,21142322,12,3683
2031,1109071,2483832,15967,61729,21142322,12,3683
2032,1109071,2483832,15967,61729,21142322,12,3683
2033,1109071,2483832,15967,61729,21142322,12,3683
2034,1109071,2483832,15967,61729,21142322,12,3683
2035,1109071,2483832,15967,61729,21142322,12,3683
2036,1109071,2483832,15967,61729,21142322,12,3683
2037,1109071,2483832,15967,61729,21142322,12,3683
2038,1109071,2483832,15967,61729,21142322,12,3683
2039,1109071,2483832,15967,61729,21142322,12,3683
2040,1109071,2483832,15967,61729,21142322,12,3683
