Year,Meat,Crops,Diversity,Timber,Carbon ,Urban,Recreation
2016,1109071,2483832,15967,61729,21142322,12,3683
2017,1094885.75,2463554.5,15602,65445.5,21067165.75,16,3657.5
2018,1080700.5,2443277,15237,69162,20992009.5,20,3632
2019,1066515.25,2422999.5,14872,72878.5,20916853.25,24,3606.5
2020,1052330,2402722,14507,76595,20841697,28,3581
2021,1051284.4,2402657.733,14511.83333,77257.03333,20897692.33,29.2,3590.166667
2022,1050238.8,2402593.467,14516.66667,77919.06667,20953687.67,30.4,3599.333333
2023,1049193.2,2402529.2,14521.5,78581.1,21009683,31.6,3608.5
2024,1048147.6,2402464.933,14526.33333,79243.13333,21065678.33,32.8,3617.666667
2025,1047102,2402400.667,14531.16667,79905.16667,21121673.67,34,3626.833333
2026,1046056.4,2402336.4,14536,80567.2,21177669,35.2,3636
2027,1045010.8,2402272.133,14540.83333,81229.23333,21233664.33,36.4,3645.166667
2028,1043965.2,2402207.867,14545.66667,81891.26667,21289659.67,37.6,3654.333333
2029,1042919.6,2402143.6,14550.5,82553.3,21345655,38.8,3663.5
2030,1041874,2402079.333,14555.33333,83215.33333,21401650.33,40,3672.666667
2031,1040828.4,2402015.067,14560.16667,83877.36667,21457645.67,41.2,3681.833333
2032,1039782.8,2401950.8,14565,84539.4,21513641,42.4,3691
2033,1038737.2,2401886.533,14569.83333,85201.43333,21569636.33,43.6,3700.166667
2034,1037691.6,2401822.267,14574.66667,85863.46667,21625631.67,44.8,3709.333333
2035,1036646,2401758,14579.5,86525.5,21681627,46,3718.5
2036,1035600.4,2401693.733,14584.33333,87187.53333,21737622.33,47.2,3727.666667
2037,1034554.8,2401629.467,14589.16667,87849.56667,21793617.67,48.4,3736.833333
2038,1033509.2,2401565.2,14594,88511.6,21849613,49.6,3746
2039,1032463.6,2401500.933,14598.83333,89173.63333,21905608.33,50.8,3755.166667
2040,1031418,2401436.667,14603.66667,89835.66667,21961603.67,52,3764.333333
2041,1030372.4,2401372.4,14608.5,90497.7,22017599,53.2,3773.5
2042,1029326.8,2401308.133,14613.33333,91159.73333,22073594.33,54.4,3782.666667
2043,1028281.2,2401243.867,14618.16667,91821.76667,22129589.67,55.6,3791.833333
2044,1027235.6,2401179.6,14623,92483.8,22185585,56.8,3801
2045,1026190,2401115.333,14627.83333,93145.83333,22241580.33,58,3810.166667
2046,1025144.4,2401051.067,14632.66667,93807.86667,22297575.67,59.2,3819.333333
2047,1024098.8,2400986.8,14637.5,94469.9,22353571,60.4,3828.5
