"","x","y","Crop.productivity","Forest.productivity","Grassland.productivity","Financial.capital","Human.capital","Social.capital","Manufactured.capital","Urban.capital"
"1",160,73,0.4631362,0,0.26153098,0.46054593,0.55580645,0.67226554,0.64507898,0.02317659
"2",161,74,0.40211086,0,0.26072657,0.45912942,0.55409695,0.67019784,0.6430949,0.03041613
"3",162,74,0.39296698,0,0.26072657,0.45912942,0.55409695,0.67019784,0.6430949,0.02245008
"4",160,75,0.48195039,0,0.25991995,0.45591303,0.55917538,0.66812442,0.5749779,0.06610964
"5",161,75,0.40908032,0,0.25991995,0.45770899,0.55238272,0.66812442,0.64110534,0.06485253
"6",162,75,0.38596016,0,0.2781722,0.45770899,0.55238272,0.66812442,0.64110534,0.03974826
"7",161,76,0,0.24390077,0,0.45628446,0.55066352,0.66604501,0.63911001,0.03270355
"8",162,76,0.39717146,0,0.27829361,0.45628446,0.55066352,0.66604501,0.63911001,0.02790178
"9",162,77,0.53726504,0,0,0.454856,0.5489396,0.66395987,0.6371092,0.06423705
"10",163,77,0.37588166,0,0.25674891,0.454856,0.5489396,0.66395987,0.6371092,0.04587127
"11",162,78,0.49962516,0,0.27163063,0.45342364,0.54721096,0.66186902,0.6351029,0.07623479
"12",163,78,0.37425499,0,0.27150498,0.27932701,0.4920844,0.56709768,0.55898781,0.10561558
"13",164,78,0.35691915,0,0.36671224,0.45342364,0.54721096,0.66186902,0.6351029,0.01214085
"14",165,78,0.3682878,0,0.35976659,0.45342364,0.54721096,0.66186902,0.6351029,0.02628127
"15",163,79,0.50276207,0,0.26661567,0.45990309,0.5671772,0.65977217,0.65553689,0.07386718
"16",164,79,0.372663,0,0.25404594,0.45198716,0.54547736,0.65977217,0.63309085,0.02756035
"17",165,79,0.38035185,0,0.17304347,0.45198716,0.54547736,0.65977217,0.63309085,0.0542135
"18",166,79,0.38486247,0,0.23633879,0.45198716,0.54547736,0.65977217,0.63309085,0.03591957
"19",159,77,0,0.25989235,0,0.46282219,0.57077718,0.66395987,0.65969771,0.01912598
"20",160,77,0,0.26217405,0,0.46282219,0.57077718,0.66395987,0.65969771,0.03518129
"21",161,77,0,0.26191925,0,0.46282219,0.57077718,0.66395987,0.65969771,0.02169983
"22",153,78,0.04626133,0,0.35755474,0.46136473,0.56897977,0.66186902,0.65762029,0.00332518
"23",154,78,0,0.14095767,0.1624963,0.46136473,0.56897977,0.66186902,0.65762029,0
"24",157,78,0,0.14095767,0.1624963,0.46136473,0.56897977,0.66186902,0.65762029,0.00562783
"25",158,78,0,0.14609492,0.1624963,0.46136473,0.56897977,0.66186902,0.65762029,0.01899997
"26",159,78,0,0.14999972,0.1624963,0.46136473,0.56897977,0.66186902,0.65762029,0.06453064
"27",160,78,0.54632648,0,0.27970852,0.46136473,0.56897977,0.66186902,0.65762029,0.14647847
"28",161,78,0.5400148,0,0.27777987,0.46136473,0.56897977,0.66186902,0.65762029,0.16809634
"29",152,79,0.06999365,0.25120939,0.33996785,0.45990309,0.5671772,0.65977217,0.65553689,0.03935318
"30",153,79,0,0.1450973,0.16198149,0.45990309,0.5671772,0.65977217,0.65553689,0.00538429
"31",154,79,0,0.14218636,0.16198149,0.45990309,0.5671772,0.65977217,0.65553689,0.02017432
"32",155,79,0,0.14252323,0.16198149,0.45990309,0.5671772,0.65977217,0.65553689,0.00141441
"33",156,79,0,0.14051111,0.16198149,0.45990309,0.5671772,0.65977217,0.65553689,0.00874474
"34",157,79,0,0.1454049,0.16198149,0.45990309,0.5671772,0.65977217,0.65553689,0.01676787
"35",158,79,0,0.14051111,0.16198149,0.45990309,0.5671772,0.65977217,0.65553689,0.00744152
"36",159,79,0.22659295,0.1716225,0.34143071,0.45990309,0.5671772,0.65977217,0.65553689,0.0192166
"37",160,79,0.57121242,0,0.29582513,0.45990309,0.5671772,0.65977217,0.65553689,0.08511544
"38",161,79,0.44737106,0,0.27468653,0.45990309,0.5671772,0.65977217,0.65553689,0.28221373
"39",162,79,0.53475749,0,0.2839786,0.45990309,0.5671772,0.65977217,0.65553689,0.11119104
"40",151,80,0.06496108,0.25022258,0.33985657,0.45843767,0.56536996,0.65766989,0.65344811,0.02986799
"41",152,80,0,0.22341498,0,0.45843767,0.56536996,0.65766989,0.65344811,0.06223032
"42",153,80,0,0.22197841,0,0.45843767,0.56536996,0.65766989,0.65344811,0.04919901
"43",154,80,0.54361327,0,0.29593228,0.45843767,0.56536996,0.65766989,0.65344811,0.04606201
"44",155,80,0.56263177,0,0.29825986,0.45843767,0.56536996,0.65766989,0.65344811,0.01192653
"45",156,80,0.55515477,0,0.29488251,0.45843767,0.56536996,0.65766989,0.65344811,0.0247112
"46",157,80,0.54633507,0,0.27793395,0.45843767,0.56536996,0.65766989,0.65344811,0.07246924
"47",158,80,0.55411461,0,0.27774309,0.45843767,0.56536996,0.65766989,0.65344811,0.03883427
"48",159,80,0.21283009,0.17058042,0.34034282,0.45843767,0.56536996,0.65766989,0.65344811,0.03638134
"49",160,80,0.55385286,0,0.29103292,0.45843767,0.56536996,0.65766989,0.65344811,0.04141261
"50",161,80,0.51144135,0,0.2793415,0.45843767,0.56536996,0.65766989,0.65344811,0.36188348
"51",162,80,0.53330693,0,0.34055623,0.45843767,0.56536996,0.65766989,0.65344811,0.26492415
"52",163,80,0.53512958,0,0.29066944,0.45843767,0.56536996,0.65766989,0.65344811,0.12017907
"53",164,80,0.53251484,0,0.27954842,0.45843767,0.56536996,0.65766989,0.65344811,0.06505905
"54",165,80,0.52808505,0,0.27954839,0.45843767,0.56536996,0.65766989,0.65344811,0.05591227
"55",154,81,0,0.25356143,0,0.45696806,0.56355756,0.65556161,0.65135336,0.03143069
"56",155,81,0.54507576,0,0.29549616,0.45696806,0.56355756,0.65556161,0.65135336,0.04503058
"57",156,81,0.54553318,0,0,0.45696806,0.56355756,0.65556161,0.65135336,0.03467292
"58",157,81,0.54307205,0,0,0.45696806,0.56355756,0.65556161,0.65135336,0.09697871
"59",158,81,0.48888058,0,0,0.45696806,0.56355756,0.65556161,0.65135336,0.07913991
"60",159,81,0.50000795,0,0.28625571,0.45696806,0.56355756,0.65556161,0.65135336,0.11233791
"61",160,81,0.48918223,0,0.28855668,0.45696806,0.56355756,0.65556161,0.65135336,0.16657463
"62",161,81,0.47842602,0,0.28755795,0.45696806,0.56355756,0.65556161,0.65135336,0.32158832
"63",163,81,0.53189613,0,0.33946451,0.45696806,0.56355756,0.65556161,0.65135336,0.1494442
"64",164,81,0.53823753,0,0.28973764,0.45696806,0.56355756,0.65556161,0.65135336,0.06855751
"65",165,81,0.4690398,0.19067194,0.28868093,0.45696806,0.56355756,0.65556161,0.65135336,0.04500118
"66",154,82,0,0.24263561,0,0.45549447,0.56174025,0.65344761,0.64925293,0.00655899
"67",155,82,0,0.25757486,0,0.45549447,0.56174025,0.65344761,0.64925293,0.01797382
"68",156,82,0.27184919,0.1091123,0.24521917,0.45549447,0.56174025,0.65344761,0.64925293,0.02202157
"69",157,82,0.55206809,0,0.29454327,0.45549447,0.56174025,0.65344761,0.64925293,0.07754335
"70",158,82,0.51011888,0,0,0.45549447,0.56174025,0.65344761,0.64925293,0.07461981
"71",159,82,0.51751212,0,0.2777537,0.45549447,0.56174025,0.65344761,0.64925293,0.06393287
"72",160,82,0.52131928,0,0.2777537,0.45549447,0.56174025,0.65344761,0.64925293,0.06177602
"73",161,82,0.52193056,0,0.2888033,0.45549447,0.56174025,0.65344761,0.64925293,0.11877588
"74",162,82,0.51109806,0,0,0.45549447,0.56174025,0.65344761,0.64925293,0.10623886
"75",163,82,0.51506033,0,0,0.45549447,0.56174025,0.65344761,0.64925293,0.09207801
"76",164,82,0.5245584,0,0.28880332,0.45549447,0.56174025,0.65344761,0.64925293,0.08051342
